V,x,y
41,1018,265
37,1013,218
40,1002,60
36,1006,108
22,550,279
14,394,282
4,153,297
3,90,298
5,208,291
28,704,156
24,510,170
19,445,175
7,270,287
34,891,119
38,1142,157
13,330,285
25,602,220
39,1071,116
35,956,163
23,512,227
17,448,232
2,30,294
31,752,250
30,795,211
32,846,170
33,935,215
27,652,103
