V,x,y
40,1272,32
35,1223,34
18,650,155
15,592,155
23,755,40
20,697,39
25,886,127
21,755,155
19,695,100
22,756,101
24,833,185
30,932,68
26,830,66
31,1064,140
32,1123,141
28,1005,190
36,1328,139
33,1177,142
29,973,126
42,1410,261
39,1332,204
37,1324,73
34,1218,199
38,1406,194
41,1405,138
2,74,92
1,25,92
7,235,184
5,132,183
12,472,31
10,382,35
6,236,88
4,181,34
8,320,82
11,424,167
9,287,184
3,129,93
13,472,166
14,521,30
