"","V1","V2"
"1",1018,235
"2",1013,188
"3",1002,30
"4",1006,78
"5",1071,86
"6",704,126
"7",208,261
"8",891,89
"9",1142,127
"10",652,73
"11",153,267
"12",935,185
"13",956,133
"14",846,140
"15",752,220
"16",795,181
"17",270,257
"18",602,190
"19",30,264
"20",510,140
"21",512,197
"22",550,249
"23",445,145
"24",394,252
"25",330,255
"26",90,268
"27",448,202
