"","V1","V2"
"1",920,30
"2",744,56
"3",861,40
"4",487,98
"5",612,76
"6",1391,242
"7",619,148
"8",1286,117
"9",626,259
"10",1006,93
"11",1295,184
"12",1014,168
"13",1300,244
"14",499,170
"15",1216,63
"16",506,270
"17",1223,160
"18",380,171
"19",1229,242
"20",392,281
"21",1126,77
"22",1135,201
"23",1024,287
"24",871,112
"25",882,176
"26",896,300
"27",747,130
"28",751,244
"29",189,290
"30",271,244
"31",184,180
