DAP,Gen,Loc,PlantID,Date,GrowthRate,Temperature,Solar.Rad,Humidity
52,B,K,1 # 2 # 3 # 4 # 5 # 6,6/24/16,4.413250267,92,27.94,84.96
53,B,K,1 # 2 # 3 # 4 # 5 # 6,6/25/16,4.735796042,96,27.83,78.4
54,B,K,1 # 2 # 3 # 4 # 5 # 6,6/26/16,5.081907103,100,23.87,65.5
55,B,K,1 # 2 # 3 # 4 # 5 # 6,6/27/16,5.453291223,87,21.85,58.55
56,B,K,1 # 2 # 3 # 4 # 5 # 6,6/28/16,5.851756359,93,22.25,54.75
57,B,K,1 # 2 # 3 # 4 # 5 # 6,6/29/16,6.279176286,93,25.74,62.45
58,B,K,1 # 2 # 3 # 4 # 5 # 6,6/30/16,6.737383158,89,26.5,64.86
59,B,K,1 # 2 # 3 # 4 # 5 # 6,7/1/16,7.227862494,90,23.76,60.19
60,B,K,1 # 2 # 3 # 4 # 5 # 6,7/2/16,7.750917004,78,24.05,56.19
61,B,K,1 # 2 # 3 # 4 # 5 # 6,7/3/16,8.30341292,85,23.69,53.06
62,B,K,1 # 2 # 3 # 4 # 5 # 6,7/4/16,8.872803709,80,25.45,62.67
63,B,K,1 # 2 # 3 # 4 # 5 # 6,7/5/16,9.421762522,94,27.4,80.82
64,B,K,1 # 2 # 3 # 4 # 5 # 6,7/6/16,9.851556291,95,28.15,82.46
65,B,K,1 # 2 # 3 # 4 # 5 # 6,7/7/16,9.931429848,94,29.92,83.89
66,B,K,1 # 2 # 3 # 4 # 5 # 6,7/8/16,9.242163361,95,30.53,82.38
67,B,K,1 # 2 # 3 # 4 # 5 # 6,7/9/16,7.408946966,91,30.56,84.47
68,B,K,1 # 2 # 3 # 4 # 5 # 6,7/10/16,4.807520129,93,29.99,88.55
69,B,K,1 # 2 # 3 # 4 # 5 # 6,7/11/16,2.531880848,98,28.76,83.21
70,B,K,1 # 2 # 3 # 4 # 5 # 6,7/12/16,1.154568893,98,27.18,82.53
71,B,K,1 # 2 # 3 # 4 # 5 # 6,7/13/16,0.487898471,91,26.75,71.83
72,B,K,1 # 2 # 3 # 4 # 5 # 6,7/14/16,0.199182945,97,23.98,59.09
73,B,K,1 # 2 # 3 # 4 # 5 # 6,7/15/16,0.080143562,86,22.9,57.55
74,B,K,1 # 2 # 3 # 4 # 5 # 6,7/16/16,0.032056486,87,24.26,70.89
75,B,K,1 # 2 # 3 # 4 # 5 # 6,7/17/16,0.012791761,86,29.95,84.34
76,B,K,1 # 2 # 3 # 4 # 5 # 6,7/18/16,0.005099549,97,26.28,73.52
77,B,K,1 # 2 # 3 # 4 # 5 # 6,7/19/16,0.002032209,94,22.61,67.48
78,B,K,1 # 2 # 3 # 4 # 5 # 6,7/20/16,0.000809728,93,26.78,72.38
79,B,K,1 # 2 # 3 # 4 # 5 # 6,7/21/16,0.000322615,98,28.55,83.66
80,B,K,1 # 2 # 3 # 4 # 5 # 6,7/22/16,0.000128534,100,24.91,67.09
